TransactionID,CustomerID,TransactionDate,TransactionType,Amount,ProductCategory,ProductSubcategory,BranchCity,BranchLat,BranchLong,Channel,Currency,CreditCardFees,InsuranceFees,LatePaymentAmount,CustomerScore,MonthlyIncome,CustomerSegment,RecommendedOffer
1,8270,29/01/2025 00:00,Card Payment,6980.185223,Checking Account,Gold,Seville,37.3891,-5.9845,Branch,EUR,0,0,0,839,5767.68,Middle Income Segment,Y
2,1860,10/02/2023 00:00,Deposit,10786.37185,Mortgage,Gold,Murcia,37.9847,-1.1287,Branch,EUR,0,0,0,683,2441,Low Income Segment,Y
3,6390,07/03/2024 00:00,Transfer,3982.761111,Loan,Platinum,Malaga,36.7213,-4.4214,ATM,EUR,0,92.46,0,500,9957.08,High Income Segment,Y
4,6191,04/07/2023 00:00,Withdrawal,12408.64414,Mortgage,Standard,Seville,37.3891,-5.9845,ATM,EUR,0,0,0,392,1545.8,Low Income Segment,Y
5,6734,05/02/2025 00:00,Fee,1868.260998,Checking Account,Platinum,Murcia,37.9847,-1.1287,Mobile,USD,0,0,0,368,5825.27,Middle Income Segment,Y
6,7265,30/09/2023 00:00,Card Payment,3165.15063,Savings Account,Platinum,Murcia,37.9847,-1.1287,Branch,EUR,0,0,0,793,6234.59,Middle Income Segment,Y
7,1466,11/02/2023 00:00,Fee,4771.087539,Savings Account,Student,Seville,37.3891,-5.9845,Mobile,EUR,0,0,0,441,6436.8,Middle Income Segment,Y
8,5426,14/01/2024 00:00,Deposit,4484.855719,Checking Account,Platinum,Murcia,37.9847,-1.1287,Branch,EUR,0,0,0,419,1576.34,,Y
9,6578,15/07/2023 00:00,Deposit,9929.003111,Loan,Gold,Murcia,37.9847,-1.1287,Online,EUR,0,42.66,0,687,5407.32,,Y
10,9322,14/02/2024 00:00,Transfer,3669.693233,Savings Account,Business,Bilbao,43.263,-2.935,Branch,EUR,0,0,0,617,7940.49,,Y
11,2685,04/01/2023 00:00,Deposit,10750.80782,Loan,Student,Bilbao,43.263,-2.935,Branch,EUR,0,33.97,0,843,9910.87,,Y
12,1769,23/11/2023 00:00,Card Payment,9476.064541,Credit Card,Gold,Valencia,39.4699,-0.3763,ATM,EUR,40,0,0,383,6000.41,,Y
13,7949,24/10/2023 00:00,Loan Payment,347.078478,Mortgage,Business,Malaga,36.7213,-4.4214,Online,EUR,0,0,26.89,484,5906.51,,Y
14,3433,03/03/2023 00:00,Loan Payment,282.1119571,Credit Card,Business,Seville,37.3891,-5.9845,Mobile,EUR,23.5,0,142.66,662,3858.5,,Y
15,6311,30/05/2023 00:00,Deposit,2967.03972,Savings Account,Student,Bilbao,43.263,-2.935,Branch,EUR,0,0,0,730,1012.55,,Y
16,6051,20/04/2023 00:00,Card Payment,4760.063919,Savings Account,Platinum,Valencia,39.4699,-0.3763,Mobile,USD,0,0,0,332,6165.08,,Y
17,7420,08/10/2024 00:00,Loan Payment,6036.819687,Loan,Student,Madrid,40.4168,-3.7038,Mobile,EUR,0,14.51,101.65,827,6732.4,,Y
18,2184,21/12/2023 00:00,Fee,4189.673892,Savings Account,Student,Madrid,40.4168,-3.7038,Branch,EUR,0,0,0,383,8253.9,,Y
19,5555,05/05/2025 00:00,Card Payment,9537.538641,Loan,Student,Murcia,37.9847,-1.1287,Online,EUR,0,26.68,0,711,4055.12,,Y
20,4385,05/05/2023 00:00,Card Payment,3889.236162,Checking Account,Business,Bilbao,43.263,-2.935,ATM,EUR,0,0,0,635,7191.14,,Y
21,7396,17/01/2024 00:00,Deposit,2562.163609,Savings Account,Platinum,Valencia,39.4699,-0.3763,ATM,EUR,0,0,0,748,8547.74,,Y
22,9666,17/11/2024 00:00,Fee,3404.541799,Checking Account,Standard,Valencia,39.4699,-0.3763,Branch,EUR,0,0,0,606,5573.25,,Y
23,3558,20/10/2024 00:00,Fee,1972.456601,Checking Account,Business,Malaga,36.7213,-4.4214,Mobile,EUR,0,0,0,828,2763.09,,Y
24,8849,23/04/2023 00:00,Loan Payment,12796.84636,Mortgage,Student,Bilbao,43.263,-2.935,ATM,USD,0,0,170.94,465,8635.25,,Y
25,3047,28/02/2025 00:00,Transfer,2611.927729,Loan,Business,Murcia,37.9847,-1.1287,ATM,EUR,0,48.66,0,479,7386.01,,Y
26,3747,14/08/2024 00:00,Fee,7072.808735,Checking Account,Gold,Murcia,37.9847,-1.1287,Online,EUR,0,0,0,507,9394.88,,Y
27,1189,07/01/2023 00:00,Loan Payment,5369.450372,Mortgage,Platinum,Malaga,36.7213,-4.4214,ATM,EUR,0,0,65.11,607,6298.02,,Y
28,3734,06/01/2024 00:00,Transfer,137.0270871,Savings Account,Standard,Barcelona,41.3874,2.1686,ATM,EUR,0,0,0,639,6773.86,,Y
29,4005,01/01/2025 00:00,Card Payment,844.0301918,Savings Account,Platinum,Malaga,36.7213,-4.4214,Online,EUR,0,0,0,589,4948.54,,Y
30,5658,09/11/2024 00:00,Loan Payment,6924.048107,Checking Account,,Madrid,40.4168,-3.7038,Branch,EUR,0,0,83.44,511,2730.56,,Y
31,2899,19/10/2024 00:00,Loan Payment,645.0363944,Savings Account,,Malaga,36.7213,-4.4214,Mobile,EUR,0,0,163.57,713,3398.28,,Y
32,8734,29/08/2023 00:00,Deposit,9176.159124,Loan,,Madrid,40.4168,-3.7038,Online,EUR,0,42.32,0,828,6072.51,,Y
33,2267,19/07/2024 00:00,Card Payment,915.9630528,Savings Account,,Barcelona,41.3874,2.1686,Mobile,EUR,0,0,0,749,6377.72,,Y
34,2528,13/02/2024 00:00,Card Payment,4885.108633,Credit Card,,Madrid,40.4168,-3.7038,ATM,USD,10.31,0,0,587,5057.74,,Y
35,4556,22/11/2024 00:00,Withdrawal,1027.551017,Savings Account,,Madrid,40.4168,-3.7038,Online,EUR,0,0,0,545,7426.07,,Y
36,4890,17/03/2023 00:00,Transfer,2603.190122,Checking Account,,Madrid,40.4168,-3.7038,Branch,EUR,0,0,0,573,6668.18,,Y
37,9838,01/06/2023 00:00,Loan Payment,1872.87385,Mortgage,,Madrid,40.4168,-3.7038,Mobile,EUR,0,0,97.86,437,3594.46,,Y
38,6393,09/09/2023 00:00,Fee,6909.059841,Loan,,Seville,37.3891,-5.9845,ATM,EUR,0,75.77,0,387,1489.97,,Y
39,9792,22/08/2023 00:00,Fee,4550.103982,Loan,,Bilbao,43.263,-2.935,Online,USD,0,96.66,0,833,9249.61,,Y
40,9433,27/11/2024 00:00,Withdrawal,5455.139748,Mortgage,,Barcelona,41.3874,2.1686,Branch,EUR,0,0,0,682,6915.34,,Y
41,8513,24/12/2023 00:00,Transfer,490.8950552,Loan,,Murcia,37.9847,-1.1287,Online,EUR,0,58.58,0,575,4473.92,,Y
42,3612,23/01/2023 00:00,Deposit,1068.250561,Checking Account,,Malaga,36.7213,-4.4214,Online,EUR,0,0,0,588,8516.75,,Y
43,8041,30/05/2024 00:00,Transfer,5519.5363,Checking Account,,Madrid,40.4168,-3.7038,Mobile,EUR,0,0,0,689,5185.09,,Y
44,7235,01/05/2025 00:00,Fee,4366.090506,Mortgage,,Zaragoza,41.6488,-0.8891,Mobile,EUR,0,0,0,605,8839.3,,Y
45,6486,31/07/2024 00:00,Fee,3451.563165,Checking Account,,Malaga,36.7213,-4.4214,ATM,EUR,0,0,0,835,5847.99,,Y
46,8099,06/02/2024 00:00,Deposit,7466.107323,Credit Card,,Seville,37.3891,-5.9845,ATM,EUR,19.86,0,0,824,7713.93,,Y
47,1775,17/02/2024 00:00,Deposit,3472.508337,Checking Account,,Bilbao,43.263,-2.935,Mobile,EUR,0,0,0,423,3926.32,,Y
48,9226,09/04/2025 00:00,Fee,2810.863397,Loan,Standard,Barcelona,41.3874,2.1686,Branch,EUR,0,15.68,0,554,1261.38,,Y
49,4152,19/10/2023 00:00,Loan Payment,8199.032473,Mortgage,Business,Malaga,36.7213,-4.4214,Online,EUR,0,0,182.81,691,5875.14,,Y
50,2585,28/01/2023 00:00,Loan Payment,7838.77446,Credit Card,Business,Madrid,40.4168,-3.7038,ATM,USD,2.62,0,145.39,445,6093.29,,Y
51,4943,30/11/2023 00:00,Deposit,4679.070333,Checking Account,Platinum,Murcia,37.9847,-1.1287,Online,EUR,0,0,0,424,5418.41,,Y
52,8555,17/10/2024 00:00,Card Payment,4115.585229,Credit Card,Standard,Madrid,40.4168,-3.7038,Mobile,EUR,8.14,0,0,642,9171.04,,Y
53,4073,23/11/2024 00:00,Loan Payment,630.98502,Savings Account,Standard,Zaragoza,41.6488,-0.8891,Online,EUR,0,0,175.22,330,6513.28,,Y
54,2021,17/08/2023 00:00,Deposit,1244.342224,Savings Account,Standard,Murcia,37.9847,-1.1287,Branch,EUR,0,0,0,593,1715.94,,Y
55,4843,26/06/2024 00:00,Transfer,9254.792206,Credit Card,Platinum,Madrid,40.4168,-3.7038,Mobile,EUR,45.25,0,0,389,6062.96,,Y
56,8989,21/02/2025 00:00,Transfer,3850.964442,Savings Account,Business,Zaragoza,41.6488,-0.8891,Branch,EUR,0,0,0,561,3119.93,,Y
57,7873,17/04/2025 00:00,Transfer,441.3637935,Savings Account,Standard,Malaga,36.7213,-4.4214,ATM,EUR,0,0,0,747,4936.7,,Y
58,6675,10/02/2025 00:00,Deposit,32.46730405,Savings Account,Business,Valencia,39.4699,-0.3763,ATM,EUR,0,0,0,746,6458.44,,Y
59,1161,19/02/2023 00:00,Deposit,2626.019545,Mortgage,Business,Seville,37.3891,-5.9845,Branch,EUR,0,0,0,467,6954.48,,Y
60,5297,08/01/2024 00:00,Loan Payment,14064.72431,Mortgage,Platinum,Bilbao,43.263,-2.935,Online,EUR,0,0,166.84,436,8635.11,,Y
61,1995,15/03/2024 00:00,Loan Payment,2895.366238,Savings Account,Business,Barcelona,41.3874,2.1686,Mobile,EUR,0,0,62.05,724,5585.22,,Y
62,8629,12/02/2025 00:00,Loan Payment,10415.14268,Loan,Gold,Malaga,36.7213,-4.4214,ATM,EUR,0,90.65,164.68,431,2884.65,,Y
63,2016,04/07/2023 00:00,Withdrawal,2323.240365,Savings Account,Business,Zaragoza,41.6488,-0.8891,ATM,EUR,0,0,0,832,3207.61,,Y
64,8869,26/02/2025 00:00,Deposit,4124.180621,Savings Account,Gold,Malaga,36.7213,-4.4214,Online,EUR,0,0,0,363,2019.63,,Y
65,7439,02/05/2023 00:00,Card Payment,173.9986123,Savings Account,Standard,Barcelona,41.3874,2.1686,ATM,USD,0,0,0,546,1794.71,,Y
66,8892,15/09/2023 00:00,Transfer,5306.685308,Loan,Gold,Seville,37.3891,-5.9845,Branch,EUR,0,76.68,0,757,4758.75,,Y
67,7863,09/09/2023 00:00,Transfer,4696.096092,Loan,Standard,Zaragoza,41.6488,-0.8891,Online,EUR,0,56.99,0,654,1302.49,,Y
68,8916,23/11/2023 00:00,Withdrawal,4896.108358,Savings Account,Gold,Seville,37.3891,-5.9845,ATM,EUR,0,0,0,510,5617.08,,Y
69,9529,10/09/2024 00:00,Withdrawal,2348.533949,Checking Account,Gold,Madrid,40.4168,-3.7038,Online,EUR,0,0,0,704,4574.97,,Y
70,1878,10/02/2025 00:00,Transfer,4083.688444,Credit Card,Standard,Barcelona,41.3874,2.1686,ATM,EUR,40.31,0,0,511,7374.19,,Y
71,5887,09/12/2023 00:00,Deposit,11309.65665,Mortgage,Platinum,Madrid,40.4168,-3.7038,Online,EUR,0,0,0,444,5453.38,,Y
72,5859,24/01/2023 00:00,Transfer,8615.672956,Credit Card,Business,Seville,37.3891,-5.9845,ATM,EUR,44.64,0,0,770,1835.64,,Y
73,7331,29/03/2024 00:00,Transfer,13089.71897,Mortgage,Gold,Zaragoza,41.6488,-0.8891,ATM,EUR,0,0,0,783,3936.14,,Y
74,9571,26/08/2024 00:00,Card Payment,3864.744055,Credit Card,Student,Seville,37.3891,-5.9845,Branch,EUR,48.22,0,0,643,5948.17,,Y
75,9684,02/05/2023 00:00,Withdrawal,11778.27789,Loan,Platinum,Seville,37.3891,-5.9845,Mobile,EUR,0,97.73,0,736,8247.87,,Y
76,8208,24/04/2024 00:00,Withdrawal,3261.470132,Savings Account,Business,Bilbao,43.263,-2.935,Online,EUR,0,0,0,444,3618.49,,Y
77,6276,07/04/2024 00:00,Loan Payment,12684.05405,Mortgage,Platinum,Bilbao,43.263,-2.935,Mobile,EUR,0,0,59.06,510,1871.71,,Y
78,3062,21/03/2023 00:00,Withdrawal,4620.697431,Savings Account,Platinum,Madrid,40.4168,-3.7038,Mobile,EUR,0,0,0,661,3752.08,,Y
79,1064,27/03/2023 00:00,Card Payment,1169.032445,Savings Account,Standard,Seville,37.3891,-5.9845,Online,EUR,0,0,0,543,7236.44,,Y
80,9006,23/12/2024 00:00,Card Payment,6204.46601,Loan,Student,Madrid,40.4168,-3.7038,Branch,EUR,0,98.42,0,488,6425.02,,Y
81,3568,20/01/2023 00:00,Transfer,8764.260517,Mortgage,Business,Madrid,40.4168,-3.7038,ATM,EUR,0,0,0,329,7358.47,,Y
82,6463,14/01/2024 00:00,Card Payment,6258.87124,Checking Account,Platinum,Zaragoza,41.6488,-0.8891,Branch,EUR,0,0,0,635,6110.31,,Y
83,3027,18/05/2024 00:00,Loan Payment,4988.477637,Loan,Standard,Zaragoza,41.6488,-0.8891,Online,USD,0,85.74,73.01,818,8831.07,,Y
84,3695,09/09/2023 00:00,Transfer,1053.673504,Savings Account,Business,Bilbao,43.263,-2.935,Mobile,EUR,0,0,0,560,7952.06,,Y
85,6258,15/03/2025 00:00,Deposit,11077.94817,Mortgage,Standard,Valencia,39.4699,-0.3763,Branch,USD,0,0,0,660,8832.24,,Y
86,6618,12/09/2023 00:00,Deposit,7359.725739,Loan,Business,Bilbao,43.263,-2.935,ATM,EUR,0,95.35,0,575,6098.89,,Y
